date,tweet,link
2022-08-04,The daily word cloud chatter on the cybersecurity Twitter feed on 03-08-2022.  #osint #vulnerabilities #cve- #cybercrime #cyberattacks #zeroday #exploit #Ransomware  https://t.co/CpbPROJpl6,https://twitter.com/AnchoredNarrat1/status/1555142100987138048
2022-08-03,You wasn't like a pumpkin Wouldn't want to watch a full zero-click zero-day iMessage exploit chain that can swallow food makes the best day ever and tomorrow's going to tell you.,https://twitter.com/JOBcarjacker/status/1555068917395193856
2022-08-03,Not me a being a stress ball all day yesterday wondering what zero day exploit was going to steamroll my week… when the exploit was knowing how to write an api call 🙃🙃🙃🙃,https://twitter.com/samply_w/status/1555022948037283840
2022-08-03,"@derflecha Pode até acontecer, mas já passou por bastante escrutínio o código, se n me engano consideraram já deixar publico uma época. Mas mesmo assim suponhamos que achem um bug zero day, tem os logs, tem o fato de que teriam que fazer o exploit em cada urna do país 1 por vez acho dificil",https://twitter.com/Danielfiks/status/1554957160039305216
2022-08-03,@abipittbull @PeterEd38924140 @x31418 @AnonOpsSE zero-day exploit,https://twitter.com/yonnimus/status/1554942426661507072
2022-08-03,"#Twitter Data Breach, 15 Minutes to Exploit #ZeroDay Vulnerabilities, Resilient #Deepfake Traits👁🕸  https://t.co/Ma4IsI1UyU",https://twitter.com/gipUniovi/status/1554887887224799234
2022-08-03,"Subzero #Malware looks to leverage #Windows system vulnerabilities, including the CVE-2022-22047 Zero-Day Exploit and MS Excel files.   https://t.co/WOlLjazamb #MalwareAttack #infosec #computersecurity #privatesector #cyberattack #cybersecurity #cybercrime",https://twitter.com/enigmasoftware/status/1554885634715799558
2022-08-03,"@PhilippeVleLong @spudiot1 This is absolutely a point of weakness/vulnerability, especially coupled with social engineering or phishing! This one targeted wallets that had been inactive for months so does seem like a zero day exploit that was biding its time.",https://twitter.com/adamKDean/status/1554853357809856518
2022-08-03,6/ Multiple scenarios have been considered by then:  - Supply chain attack - Permissions to app - Faulty number generator - Browser exploit zero day - Reused nonces ... and so on.  Supply chain attack appears to be the best candidate explanation so far.  https://t.co/062TB53Isv,https://twitter.com/twofivedev/status/1554808333143576576
2022-08-03,"@JunoNetwork @coinhall_org @krakenfx @mintscanio @CosmostationVD @muse_token_DAO @WhiteWhaleDefi Juno had to halt ⛔  Cause: Malicious actors used a @CosmWasm zero-day exploit to halt @JunoNetwork  For more information, read this thread by @assafmo ⬇️  https://t.co/L2SBCHrWlE   #JUNO later resolved the issue and concurrently released version 9.0.0 🤩  https://t.co/FH6hLvFpOC",https://twitter.com/CosmosATOMDaily/status/1554746833599086592
2022-08-03,The daily word cloud chatter on the cybersecurity Twitter feed on 02-08-2022.  #osint #vulnerabilities #cve- #cybercrime #cyberattacks #zeroday #exploit #Ransomware  https://t.co/m4IlMgwqZ9,https://twitter.com/AnchoredNarrat1/status/1554730322197204992
2022-08-03,The daily word cloud chatter on the cybersecurity Twitter feed on 01-08-2022.  #osint #vulnerabilities #cve- #cybercrime #cyberattacks #zeroday #exploit #Ransomware  https://t.co/7m1ME0QgoO,https://twitter.com/AnchoredNarrat1/status/1554729678543486977
2022-08-03,"🧐 Otra teoría, más avanzada, es que se trata de un ""exploit"" o un ""zero day""... básicamente una vulnerabilidad en alguno de los navegadores más populares que permite a un atacante, con un código especial, hacer cosas que no debería - entre ellas, robarte la llave privada.",https://twitter.com/lesmonova/status/1554728626859364353
